Time Vx
 2.420880318E+00 1.284662127E+00
 2.436807156E+00 1.301242828E+00
 2.452734232E+00 1.312373281E+00
 2.468661070E+00 1.312694788E+00
 2.484587908E+00 1.318435907E+00
 2.500514746E+00 1.335108519E+00
 2.516441584E+00 1.346973777E+00
 2.532368183E+00 1.338109374E+00
 2.548295259E+00 1.318328738E+00
 2.564222097E+00 1.315603614E+00
 2.580148935E+00 1.336838484E+00
 2.596075773E+00 1.359436154E+00
 2.612002611E+00 1.347249389E+00
 2.627929449E+00 1.311240196E+00
 2.643856287E+00 1.300140500E+00
 2.659783125E+00 1.303370953E+00
 2.675709963E+00 1.302452326E+00
 2.691636801E+00 1.302636027E+00
 2.707563639E+00 1.306050181E+00
 2.723490477E+00 1.313184619E+00
 2.739417553E+00 1.327178001E+00
 2.755344152E+00 1.342059255E+00
 2.771270990E+00 1.338614583E+00
 2.787197828E+00 1.314929962E+00
 2.803124666E+00 1.299267888E+00
 2.819051504E+00 1.299160600E+00
 2.834978580E+00 1.310474753E+00
 2.850905418E+00 1.334741116E+00
 2.866832256E+00 1.358869672E+00
 2.882758856E+00 1.349086523E+00
 2.898685694E+00 1.311316729E+00
 2.914612532E+00 1.292393684E+00
 2.930539608E+00 1.296129227E+00
 2.946466446E+00 1.302329898E+00
 2.962393284E+00 1.312710047E+00
 2.978320122E+00 1.330285907E+00
 2.994246721E+00 1.340191483E+00
 3.010173559E+00 1.319859743E+00
 3.026100636E+00 1.301181555E+00
 3.042027473E+00 1.325937867E+00
 3.057954311E+00 1.354644060E+00
 3.073881149E+00 1.337328434E+00
 3.089807987E+00 1.289010167E+00
 3.105734587E+00 1.270071626E+00
 3.121661663E+00 1.279441476E+00
 3.137588501E+00 1.296512127E+00
 3.153515339E+00 1.310122609E+00
 3.169442177E+00 1.317394853E+00
 3.185369015E+00 1.324146509E+00
 3.201295853E+00 1.330117464E+00
 3.217222929E+00 1.326611519E+00
 3.233149529E+00 1.312327266E+00
 3.249076366E+00 1.295547485E+00
 3.265003204E+00 1.283023953E+00
 3.280930042E+00 1.278660536E+00
 3.296856880E+00 1.283605695E+00
 3.312783957E+00 1.293541908E+00
 3.328710794E+00 1.303202510E+00
 3.344637394E+00 1.317961335E+00
 3.360564232E+00 1.330714583E+00
 3.376491070E+00 1.323932290E+00
 3.392417908E+00 1.297981858E+00
 3.408344984E+00 1.277895093E+00
 3.424271822E+00 1.277772546E+00
 3.440198660E+00 1.294491172E+00
 3.456125259E+00 1.327560782E+00
 3.472052097E+00 1.367336154E+00
 3.487978935E+00 1.371041059E+00
 3.503906012E+00 1.312740684E+00
 3.519832850E+00 1.278951526E+00
 3.535759687E+00 1.293587804E+00
 3.551686525E+00 1.316430330E+00
 3.567613363E+00 1.337450981E+00
 3.583539963E+00 1.342518568E+00
